Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
White,Chenin Blanc,Light-Medium,Fruity,Floral,Honey,Versatile,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Roquefort e Chenin Blanc oferecem um contraste entre a intensidade do queijo e a leveza do vinho.,Roquefort and Chenin Blanc offer a contrast between the intensity of the cheese and the lightness of the wine.
White,Moscato,Sweet,Floral,White fruits,Honey,Low acidity,Brie,Soft,Creamy-soft,Smooth,Slightly sweet,,,Complementary,C,Brie e Moscato se combinam pela suavidade e a doçura criando uma harmonia leve e adocicada.,Brie and Moscato combine for their softness and sweetness creating a light and sweet harmony.
White,Moscato,Sweet,Floral,White fruits,Honey,Low acidity,Gouda,Semi-hard,Firm-soft,Milky,Slightly salty,Velvety,,Contrasting,Cr,Gouda e Moscato contrastam com a doçura do vinho e a textura mais firme do queijo.,Gouda and Moscato contrast with the sweetness of the wine and the firmer texture of the cheese.
White,Albariño,Fresh,Citric fruits,Minerally,Light body,,Pecorino,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Contrasting,Cr,Pecorino e Albariño oferecem um contraste interessante entre a textura dura e o frescor do vinho.,Pecorino and Albariño offer an interesting contrast between the hard texture and freshness of the wine.
White,Albariño,Fresh,Citric fruits,Minerally,Light body,,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Roquefort e Albariño contrastam com a intensidade do queijo e o frescor do vinho.,Roquefort and Albariño contrast with the intensity of the cheese and the freshness of the wine.
White,Albariño,Fresh,Citric fruits,Minerally,Light body,,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Gorgonzola e Albariño criam um contraste entre a intensidade do queijo e o frescor do vinho.,Gorgonzola and Albariño create a contrast between the intensity of the cheese and the freshness of the wine.
White,Albariño,Fresh,Citric fruits,Minerally,Light body,,Manchego,Hard,Brittle,Intense,Salty,Velvety,Nutty,Contrasting,Cr,Manchego e Albariño oferecem um contraste entre a textura do queijo e o frescor do vinho.,Manchego and Albariño offer a contrast between the texture of the cheese and the freshness of the wine.
White,Albariño,Fresh,Citric fruits,Minerally,Light body,,Parmesan,Hard,Granular-hard,Salty,Intense,Fruity,Complex,Contrasting,Cr,Parmesão e Albariño criam um contraste entre a textura firme e o perfil fresco do vinho.,Parmesan and Albariño create a contrast between the firm texture and the fresh profile of the wine.
White,Vermentino,Fresh,Citric fruits,Floral,Salty,Light body,Roquefort,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Roquefort e Vermentino contrastam com a intensidade do queijo e a leveza e frescor do vinho.,Roquefort and Vermentino contrast with the intensity of the cheese and the lightness and freshness of the wine.
White,Vermentino,Fresh,Citric fruits,Floral,Salty,Light body,Gorgonzola,Blue,Creamy-crumbly,Intense,Spicy,Salty,Strong aroma,Contrasting,Cr,Gorgonzola e Vermentino criam um contraste entre a intensidade do queijo e o frescor do vinho.,Gorgonzola and Vermentino create a contrast between the intensity of the cheese and the freshness of the wine.
White,Vermentino,Fresh,Citric fruits,Floral,Salty,Light body,Mozzarella,Fresh,Stretchy-soft,Smooth,Milky,Slightly salty,,Contrasting,Cr,Mozzarella e Vermentino contrastam com a leveza do queijo e o perfil fresco do vinho.,Mozzarella and Vermentino contrast with the lightness of the cheese and the fresh profile of the wine.
